resp,numtexts,treatycommit,brave,evil,flag,threat,economy,treatyviolation,resp_id,text1,text2,text3,text_full
94,2,0,0,0,0,0,0,0,R_1DCIKcrCkioG2Qv,The protesters regularly wave American flags to affirm their support for ideals that Americans hold dear.,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway because they want to be free.",,"The protesters regularly wave American flags to affirm their support for ideals that Americans hold dear. The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway because they want to be free. "
84,2,1,0,0,1,0,0,0,R_3qQz7Y2Bbg6IHK6,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's right to govern itself.",The protesters regularly wave American flags because the flag is a symbol for freedom everywhere.,,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's right to govern itself. The protesters regularly wave American flags because the flag is a symbol for freedom everywhere. "
31,2,1,0,1,0,0,0,0,R_33v5zeO7uoKhMVE,"Human rights groups have also accused China of putting hundreds of thousands of Uyghurs, an ethnic minority from northestern China, in internment camps.","During George H.W. Bush's administration, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's autonomy.",,"Human rights groups have also accused China of putting hundreds of thousands of Uyghurs, an ethnic minority from northestern China, in internment camps. During George H.W. Bush's administration, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's autonomy. "
90,2,1,1,0,0,0,0,0,R_29bEh8A6EEKZ3qx,"During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's special status and its freedoms.",Protesters have been targeted by brutal police tactics.,,"During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's special status and its freedoms. Protesters have been targeted by brutal police tactics. "
1,2,1,0,0,0,0,1,0,R_1BXAu1DpMYj0gVX,China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom.,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's freedom.",,"China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom. During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's freedom. "
8,3,1,1,0,1,1,0,0,R_2trsreAba72Usxw,Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,China's crackdown in Hong Kong follows a decades-long military buildup.,Protesters have been targeted by brutal police tactics and intimidation.,Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution. China's crackdown in Hong Kong follows a decades-long military buildup. Protesters have been targeted by brutal police tactics and intimidation.
53,2,0,0,0,0,0,0,0,R_sz1EjtGAec4oxa1,"China is a communist country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law.",China's crackdown in Hong Kong follows a decades-long military buildup aimed at threatening the United States.,,"China is a communist country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. China's crackdown in Hong Kong follows a decades-long military buildup aimed at threatening the United States. "
55,2,1,0,0,0,1,0,0,R_1mml5b32pKwNNtH,China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region.,"27 years ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's right to govern itself.",,"China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region. 27 years ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's right to govern itself. "
18,3,0,0,1,0,0,1,1,R_3ENqmsQ0ONp7wWJ,Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China.,Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy.,China is a communist country with a long history of mistreating its citizens. Scholars estimate that at least 18 million Chinese citizens have been killed as a result of its policies.,Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China. Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy. China is a communist country with a long history of mistreating its citizens. Scholars estimate that at least 18 million Chinese citizens have been killed as a result of its policies.
83,2,1,1,0,0,0,0,0,R_qw28dveAuW3w8N3,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway because they want to be free.","During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's special status and its freedoms.",,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway because they want to be free. During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's special status and its freedoms. "
