resp,numtexts,treatycommit,brave,evil,flag,threat,economy,treatyviolation,resp_id,text1,text2,text3
100,2,1,0,0,0,0,0,1,R_2coszsxfzydiWYf,Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,"27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status.",
52,2,0,0,0,0,0,0,0,R_3gLu4Ku1WjTspHA,"When Britain ceded Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty.",China's crackdown in Hong Kong follows decades of investing in its military so that it can better compete with the United States.,
60,3,0,0,1,1,1,0,0,R_1mFxebzrNoOkZtG,Many protesters carry American flags because the flag is a symbol for freedom everywhere.,"China is building a large number of aircraft carriers, which, when completed, will make its military more competitive with the United States.",China is an authoritarian country with a long history of mistreating its citizens. Scholars estimate that at least 18 million Chinese citizens have been killed as a result of its policies.
51,3,0,0,0,0,1,1,1,R_3ezaOvQYJ3RgPMf,The protesters claim that China's actions violate the terms of the treaty that led Britain to return Hong Kong to China.,"China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. During this time, it has grown into one of the most richest cities in the world.","China's crackdown in Hong Kong follows a decade long military buildup, in which China has sought to catch up to American military capabilities."
70,3,0,1,1,0,1,0,0,R_3JxSRbCs7rYUzND,"China is an authoritarian country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.","The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government.","China's actions in Hong Kong may foreshadow aggression towards other U.S. allies in the region, such as Japan and Taiwan."
96,3,0,0,1,1,0,1,0,R_2ALoJG6VI5udkhi,Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world.,"Outside of Hong Kong, China does not allow for free speech, free press, or due process of the law. Now, it is trying to destroy those freedoms in Hong Kong as well.",The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.
58,2,0,0,0,0,0,0,0,R_3kNyAkpDV3vJLVj,Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,
64,2,0,0,0,0,0,0,0,R_2sXWA99FLJ7CBVa,"When Britain returned Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty.","China is a totalitarian country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.",
78,2,1,1,0,0,0,0,0,R_3PYMxek9SVFqpxo,"In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's freedom.","The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway in order to defend their liberty.",
100,3,1,0,1,0,1,0,1,R_3h5gHvh3COFZhtm,"Recent Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.",China is building a number of aircraft carriers so that its military can compete with the United States.,"China is a totalitarian country with a long history of mistreating its citizens, including the massacre of protestors at Tiananmen Square in 1989."
81,2,0,0,0,0,0,0,0,R_pLPudFvms9MtPUt,"Outside of Hong Kong, China does not allow for free speech, free press, or due process of the law.",Recent Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,
60,2,1,0,0,0,1,0,0,R_11iogxOPPPOgizy,"Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's special status and its freedoms.","For the past 20 years, China has bought advanced weapons from Russia to upgrade its military.",
71,3,1,1,0,1,1,0,0,R_tJslBixFbUvQnqV,"China's crackdown in Hong Kong follows a decade long military buildup, in which China has sought to catch up to American military capabilities.",Protesters have been targeted by brutal police tactics and intimidation.,The protesters regularly wave American flags to affirm their commitment for ideals that Americans hold dear.
83,2,0,0,0,0,0,0,0,R_2CE25sUf7Dve26W,"Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.","China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.",
100,3,0,1,0,1,0,0,1,R_3QFwCaxuKIA96Mo,Many protesters carry American flags to appeal for American help.,"The protesters claim that China's actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.","The Hong Kong protesters risk being beaten, imprisoned, or tortured by the Chinese government."
50,3,0,1,1,0,0,0,1,R_1FyR0kaDEHzvgo5,Recent Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,Protesters have been targeted by brutal police tactics.,"China is a communist country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. Now, it is trying to destroy those freedoms in Hong Kong as well."
84,2,1,0,0,0,0,0,1,R_1DMaqXdnQcG0lbO,"Some time ago, Congress passed a bill pledging to preserve Hong Kong's special status.","When China acquired Hong Kong from Britain in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement.",
20,3,1,0,1,1,1,0,0,R_WwJ7CnIHt8kghnr,"China is an authoritarian country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.",China's crackdown in Hong Kong follows a decades-long military buildup aimed at threatening the United States.,Many protesters carry American flags to appeal for American help.
43,2,1,0,0,0,0,1,0,R_3L5CuvPnhneKae4,China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world.,"27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's freedom.",
80,2,0,0,0,0,0,0,0,R_1PZByS1na9cb4a4,Protesters have been targeted by brutal police tactics and intimidation.,China's crackdown in Hong Kong follows a decades-long military buildup aimed at threatening the United States.,
78,3,0,0,0,0,1,1,1,R_1pQINyLSey7JTg6,"Hong Kong has been governed separately from China for the past 150 years. During this time, it has grown into one of the richest cities in the world.","Recent Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.","For the past 20 years, China has bought advanced weapons from Russia to upgrade its military."
69,2,0,0,0,0,0,0,0,R_1Ft8nH8YiA7yqyL,Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom.,China's crackdown in Hong Kong follows decades of investing in its military.,
94,2,0,0,0,0,0,0,0,R_1DCIKcrCkioG2Qv,The protesters regularly wave American flags to affirm their support for ideals that Americans hold dear.,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway because they want to be free.",
91,2,0,0,0,0,0,0,0,R_1LtVH4HANg5AAg9,"When China acquired Hong Kong from Britain in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty.","Some protesters have been beaten, imprisoned, and tortured by the Chinese government, but the protesters put their lives on the line in the name of liberty.",
66,3,0,0,1,1,1,0,0,R_2BnWiHCzhZXWVF6,Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,"Outside of Hong Kong, China does not allow for free speech, free press, or due process of the law. Now, it is trying to destroy those freedoms in Hong Kong as well.","China's actions in Hong Kong may foreshadow aggression towards other U.S. allies in the region, such as Japan and Taiwan."
