resp,numtexts,treatycommit,brave,evil,flag,threat,economy,treatyviolation,resp_id,text1,text2,text3,text_full
93,3,1,0,0,1,0,1,0,R_b46OCopoP1TEnWF,"Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's freedom.","China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years, during which it became one of the richest cities in the world.",Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,"Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's freedom. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years, during which it became one of the richest cities in the world. Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution."
60,3,1,0,0,0,1,1,0,R_3Dnj9v9aSCdTOBt,China's crackdown in Hong Kong follows decades of investing in its military so that it can better compete with the United States.,"27 years ago, Congress passed a bill pledging to preserve Hong Kong's special status and its freedoms.",Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom.,"China's crackdown in Hong Kong follows decades of investing in its military so that it can better compete with the United States. 27 years ago, Congress passed a bill pledging to preserve Hong Kong's special status and its freedoms. Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom."
50,3,1,0,1,0,1,0,0,R_1fZTiBuSdih77mF,"China's actions in Hong Kong may foreshadow aggression towards other U.S. allies in the region, such as Japan and Taiwan.","China is a communist country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. Now, it is trying to destroy those freedoms in Hong Kong as well.","Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself.","China's actions in Hong Kong may foreshadow aggression towards other U.S. allies in the region, such as Japan and Taiwan. China is a communist country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. Now, it is trying to destroy those freedoms in Hong Kong as well. Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself."
73,3,1,1,0,0,0,1,0,R_3ptcUTrt9Y3kGq7,"Some time ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's autonomy.",Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy.,"Some protesters have been beaten, imprisoned, and tortured by the Chinese government, but the protesters put their lives on the line in the name of liberty.","Some time ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's autonomy. Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy. Some protesters have been beaten, imprisoned, and tortured by the Chinese government, but the protesters put their lives on the line in the name of liberty."
50,2,1,0,0,0,0,1,0,R_2R3unp1KKnyqzKz,Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world.,"Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's autonomy.",,"Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world. Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's autonomy. "
53,3,1,1,0,0,0,1,0,R_1fdvWp41SifcnKs,"Protesters have been targeted by brutal police tactics and intimidation, which has led to bloodshed.","During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's right to govern itself.",China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world.,"Protesters have been targeted by brutal police tactics and intimidation, which has led to bloodshed. During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's right to govern itself. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world."
49,3,1,0,0,1,0,0,1,R_3NKSSw2WWEE9qMI,"Some time ago, Congress passed a bill pledging to preserve Hong Kong's autonomy.",Many protesters carry American flags to affirm their commitment for ideals that Americans hold dear.,"Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.","Some time ago, Congress passed a bill pledging to preserve Hong Kong's autonomy. Many protesters carry American flags to affirm their commitment for ideals that Americans hold dear. Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs."
72,2,0,1,0,0,0,1,0,R_6zAkZKcJaKAMLHX,Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world.,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway because they want to be free.",,"Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world. The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway because they want to be free. "
26,2,0,1,0,1,0,0,0,R_1jfAgF5amH2YQ7Q,The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to defend their liberty.",,"The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution. The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to defend their liberty. "
80,3,1,0,0,0,0,1,1,R_Wvw5SQdEvZjj1DP,Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,"Some time ago, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.",China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world.,"Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China. Some time ago, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world."
